Question,Answer
internet not working,internet not working
What is the capital of France?,The capital of France is Paris.
How do I change my password?,To change your password go to the settings and select the password option.
What time does the event start?,The event will start at 7:00 PM.
How can I contact customer support?,You can contact customer support at 1-800-123-4567.
Who founded Sharda?, The school is part of the Sharda Group of Institutions which was founded by P.K Gupta in 1996.
Where is is located? ,Sharda University is a private university located in Knowledge Park III Greater Noida Uttar Pradesh India. 
What is the strength of Students in Sharda University? , It is the largest educational group based in Uttar Pradesh having 13000+ students .
What is the strength of Faculties in Sharda University? , It is the largest educational group based in Uttar Pradesh having 900+ faculties.
How big is the Sharda University Campus? , Sharda University has a huge 63-Acre Campus with upgraded infrastructure and state-of-the-art facilities within the campus for its students. 
What is the rank of Sharda University according to NIRF? , Sharda University is accredited with a Grade A+ by NAAC and is ranked 87th in NIRF Ranking 2023 in University Category.
How many programs do Sharda University offer? , The university offers 130+ programs including UG PG Doctoral Diploma Integrated and Short-term Degrees/ Certificates programs. 
Why choose Sharda University? , Because it is the only global university in India with students from 95+ countries and academic tie-ups with 210+ universities worldwide from countries such as the USA UK Russia Slovenia Italy Canada
How many schools are there in Sharda University? , There are 14 schools inside Sharda University.
What is the official website of Sharda University? , https://www.sharda.ac.in/
Does Sharda University provide any scholarships?, Yes it offers 11 types of scholarships to students depending on their academic performance and their achievements in sports and cultural activities.
Who is Ambuj Agarwal,"Dr. Ambuj Kumar Agarwal is working as a Professor at the Department of Computer Science & Engineering, Sharda University. He has completed his Ph.D. (Computer Science) in 2013, M. Tech from MDU, Rohtak, M.Phil(CS) from Algappa University and MCA from UPTU, Lucknow.  He has more than 18 years of extensive experience in the IT industry and Academics in India. His research areas are Software Engineering, Software Testing, Operating System, Cloud, Machine Learning, and Deep Learning."
who is Doctor Nishant Gupta,"Dr. Nishant Gupta is presently working as an Associate Professor in the Department of Computer Science and Engineering at Sharda University. Previously, he has worked with Mahatma Gandhi Missions College of Engineering and Technology as Head-Training & Placement and also been the part of various administrative and academic responsibilities. He has a total experience of 17+ years in teaching and research. He did his Ph.D (CSE), M.Tech (CSE) and B.Tech (IT) from Dr. A.P.J Abdul Kalam Technical University, Lucknow (Formerly, UPTU, Lucknow)."
When is AIT2Z2 MODERN VEHICLE TECHNOLOGY exam?,Twenty-nine November Two Thousand Twenty-three Wednesday One PM to Four Thirty PM
When is BTUZ2Z TECHNIQUES IN MOLECULAR BIOLOGY exam?,Twenty-nine November Two Thousand Twenty-three Wednesday One PM to Four Thirty PM
When is CSA401 COMPUTER VISION exam?,Twenty-nine November Two Thousand Twenty-three Wednesday One PM to Four Thirty PM
When is CSE472 ARTIFICIAL INTELLIGENCE exam?,Twenty-nine November Two Thousand Twenty-three Wednesday One PM to Four Thirty PM
When is CVL430 ADVANCE STRUCTURE DESIGN exam?,Twenty-nine November Two Thousand Twenty-three Wednesday One PM to Four Thirty PM
When is ECE944 NANO ELECTRONICS exam?,Twenty-nine November Two Thousand Twenty-three Wednesday One PM to Four Thirty PM
When is MPS129 DISTRIBUTED GENERATION TECHNOLOGY exam?,Twenty-nine November Two Thousand Twenty-three Wednesday One PM to Four Thirty PM
When is CSE062 MOBILE COMPUTING exam?,Thirty November Two Thousand Twenty-three Thursday One PM to Four Thirty PM
